survey_id,text_value.What do you like least about our school?
1,the food thats being served in our cafe in all schools to our kids
2,We have such a large staff group that it is hard to get to know everyone.  It seems as if XXXX High School is a different school from the XXXX High Career Center.  
3,nothing
4,My children complain most about the cafeteria food options.
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,N/A
18,N/a
19,
20,
21,
22,"The facility and it's lack of space, resources, and how poorly planned and designed it was from day one. "
23,
24,
25,I would like if there were more opportunities for staff members to socialize and discuss daily activities as well as topics that will bring more socialization among each other. 
26,
27,
28,"I have transferred from another state with six years experience.  I have completed the formal observation process and received tenure and my professional teaching license.  However, I have to go complete the Safe-T process due to being new to SC.  I feel that I need to be formally observed, but I would like it if out of state programs could transfer to the state of SC."
29,
30,
31,
32,
33,I don't like the teacher to student ratio.  I think teachers could do a more effective job if their classes were smaller.
34,
35,food
36,
37,There isn't enough time to allow for vertical planning.  I would like to meet once a month with the other teachers who teach the same content area that I do.  
38,
39,
40,The sports team have a difficult time winning games...
41,too much paperwork and too much testing
42,"By treating our kids as if they are still in Elementary and not allowing them to grow socially. Our kids are not allowed to communicate in the mornings and I feel that's a little too much for this age group. At this age kids are finding out ""Where they fit"" I feel we are hindering them from that social skill by making them sit in the hall in the AM and not talk. I also don't like our kids fearing our  AP administration. Students should never fear anyone that works in a public school. "
43,"The physical environment of the school could be better. The main part of the school is old and therefore has the problems that come with an aging building - leaky ceilings, moisture in classroom, mildew smell, mice, etc. The outside area, especially in the back where the kids have their recess, is littered with loose gravel and broken glass, and dirt covers  the court they play on.  It would be nice if the appearance of the school and the grounds of the school reflected the goodness that goes on inside of it."
44,"Our student numbers are down from previous years. With the growth in the Indian Land area, we have slacked off on the number of students here at our school. "
45,
46,It's old
47,Nothing
48,It is outdated and in need of renovation.
49,
50,That I have lost valuable planning time.
51,"The least thing I like about our school is the lack of teacher ""togetherness"".  Working on a team, I only get to see those teachers, but it would be so nice to be able to get together with all the teachers and share information about our subject matter and things that pertain to the school."
52,I do not like that our students travel between academic classes as homerooms.  
53,
54,The heating and air systems create mold.
55,Facilities
56,
57,
58,
59,sometimes we let a bad day get in the way
60,I wish we had more parent participation.
61,Lack of communication with discipline issues at times.
62,"The least part I like about our school is the technology.  We have some computers, chrome books, and Ipads for the students to use.  It would be helpful and more beneficial if we could have more in our classrooms for the students to use as a tool to learn."
63,N/A
64,Poverty level of our children. Wish I could help protect and provide for them all beyond school walls
65,
66,There is not  much that I do not like at this school. 
67,"Lunch is a little short.  I believe a schedule is very important, but feel like we may need 5 more minutes. "
68,No comment.
69,The playground has to many hills.
70,"Clique environment; there is a clear ""in-crowd"", and then the rest of us"
71,Space is limited within our classroom as well as therapy areas for the needs of our students.
72,Some parents seem to be disinterested in their child's education.
73,Lack of teacher appreciation 
74,N/A
75,
76,N/A
77,The behavior problems.
78,"Due to our school's highly publicized school report card and the demographics of our student population, many in the community speak negatively of our school.  It is discouraging to work continuously for improvement and have others speak negatively of our school.  While continuously striving for greater success, it is also difficult sometimes to feel as though we are never successful enough. "
79,n/a
80,N/A
81,some of the policies in place need to be enforced by all staff members
82,
83,Not enough teachers for special education support
84,I wish there was just a little less time off task for fundraisers and events but I do understand the importance of those activities. 
85,
86,Nothing 
87,
88,
89,
90,
91,It is old and need to be updated. 
92,
93,
94,
95,"Unfortunately, some faculty/staff members have had a difficult time adjusting to the high expectations and changes of the new administration.  I'm disheartened by their lack of commitment and zeal for collaborating and working as a team which could not unify our school but our community as a whole.  Quite honestly, I hope they embrace the vision and mission of the new administration soon or seek other employment opportunities.  Although these are few in number, it is emotionally taxing to witness negativity and dissension even among a few.  "
96,Behavior issues
97,
98,"Honestly, I can say that at this point at XXXXX, I can not think of anything that I like least. "
99,I feel that the school day begins too early for the students to effectively participate and be fully engaged in instruction.
100,
101,
102,I dislike that we do not have enough textbooks for our students and that there isn't more behavior intervention.
103,
104,
105,Behavior makes it difficult to teach at times.
106,
107,
108,
109,Our school could improve more on feedback to the educators.  
110,
111,
112,
113,
114,
115,
